title,budget,runtime,Budget_Per_Minute
"Man on Wire",0,94,0
"Snow Angels",0,106,0
"Trust the Man",9000000,103,87379
"Auto Focus",7000000,104,67308
Zoom,35000000,83,421687
"You Got Served",0,95,0
"End of the Spear",0,108,0
"Beer League",0,86,0
"Los cronocrímenes",2600000,92,28261
"Daddy Day Camp",6000000,89,67416
"Impact Point",0,90,0
Up,175000000,96,1822917
2012,200000000,158,1265823
"Dragonball Evolution",100000000,85,1176471
"Ta Ra Rum Pum",0,156,0
Valiant,35000000,76,460526
"Beauty Shop",25000000,105,238095
"Boiler Room",26000000,118,220339
Aquamarine,12000000,104,115385
"Cecil B. Demented",10000000,87,114943
"The Adventures of Sharkboy and Lavagirl",50000000,92,543478
"The Painted Veil",19400000,125,155200
"Strange Wilderness",0,87,0
"Winter Passing",3500000,98,35714
"Beyond the Mat",2053648,102,20134
"Hoop Dreams",700000,171,4094
Murderball,300000,88,3409
"The Red Violin",18000000,131,137405
"In the Shadow of the Moon",2000000,109,18349
"Better Luck Tomorrow",0,101,0
Miracle,28000000,135,207407
"Poolhall Junkies",0,99,0
"You Can Count on Me",0,111,0
"Cadillac Records",12000000,109,110092
"Marley & Me",60000000,115,521739
"The Wild Thornberrys Movie",35000000,85,411765
"Virgin Territory",38000000,93,408602
"The Express",40000000,130,307692
Primer,7000,77,91
Crossover,5800000,95,61053
"Repo! The Genetic Opera",0,98,0
"Mad Hot Ballroom",0,105,0
Doubt,20000000,104,192308
"Out Cold",24000000,89,269663
投名狀,40000000,126,317460
"कभी अलविदा ना कहना",7400000,193,38342
"Code Name: The Cleaner",20000000,84,238095
"Beverly Hills Chihuahua",20000000,91,219780
"Sinbad: Legend of the Seven Seas",60000000,86,697674
PCU,9000000,79,113924
"Drive Me Crazy",8000000,91,87912
"I Think I Love My Wife",11000000,90,122222
"My Bloody Valentine",15000000,101,148515
Fireproof,500000,122,4098
"Ella Enchanted",31000000,96,322917
"The Rugrats Movie",30000000,79,379747
"Død snø",800000,91,8791
"The Manchurian Candidate",80000000,129,620155
"The Oh in Ohio",5000000,88,56818
Mirrormask,4000000,101,39604
"New in Town",8000000,97,82474
三国之见龙卸甲,0,102,0
"Roll Bounce",0,112,0
"Dead Man on Campus",0,96,0
"Paul Blart: Mall Cop",26000000,91,285714
"The Boy in the Striped Pyjamas",12500000,94,132979
Shade,6800000,101,67327
"Dirty Work",0,82,0
"Outside Providence",7000000,96,72917
Passchendaele,0,114,0
"In the Company of Men",0,97,0
Partition,0,116,0
Thunderbirds,57000000,95,600000
"The Ultimate Gift",0,114,0
"Woman on Top",8000000,92,86957
"The Work and the Glory II: American Zion",6500000,100,65000
"The Rookie",20000000,127,157480
"Bon voyage",0,114,0
"Soul Men",0,103,0
"Slums of Beverly Hills",5000000,91,54945
"Varsity Blues",0,106,0
"The Long Riders",10000000,99,101010
"Love & Basketball",20000000,124,161290
"The Haunting of Molly Hartley",0,82,0
Osama,46000,83,554
"Good Dick",0,86,0
"Last Orders",0,109,0
"For Your Consideration",12000000,86,139535
"Fiddler on the Roof",9000000,181,49724
"London to Brighton",0,85,0
"Not Easily Broken",0,99,0
Coraline,60000000,100,600000
"Chasing Liberty",23000000,111,207207
"Little Black Book",35000000,111,315315
"Dead Like Me: Life After Death",0,87,0
"Lone Wolf McQuade",5000000,107,46729
"G.I. Joe: The Rise of Cobra",175000000,118,1483051
"The Jungle Book 2",20000000,72,277778
"September Dawn",11000000,110,100000
1776,0,142,0
"Flash of Genius",0,119,0
"Rachel Getting Married",0,113,0
"One Night with the King",20000000,123,162602
Wah-Wah,0,120,0
"Blonde Ambition",10000000,93,107527
Clockstoppers,26000000,94,276596
"Can't Hardly Wait",10000000,100,100000
"Fat Albert",0,93,0
"Bon Cop Bad Cop",8000000,116,68966
"The Loss of Sexual Innocence",4000000,106,37736
"좋은 놈, 나쁜 놈, 이상한 놈",10000000,130,76923
Undisputed,20000000,96,208333
"Extreme Ops",40000000,93,430108
"Crank: High Voltage",20000000,96,208333
"The Sound of Music",8200000,174,47126
"Love Stinks",0,94,0
"Phantasm II",3000000,97,30928
"Jonah: A VeggieTales Movie",0,82,0
"Full Frontal",2000000,96,20833
"Hotel for Dogs",35000000,100,350000
"Mystery, Alaska",28000000,119,235294
Bathory,0,141,0
De-Lovely,20000000,125,160000
"The Toxic Avenger",0,82,0
"This Christmas",13000000,117,111111
"200 Cigarettes",6000000,101,59406
"Street Fighter: The Legend of Chun-Li",50000000,97,515464
"Twilight Zone: The Movie",10000000,101,99010
"Witless Protection",0,97,0
"Role Models",28000000,99,282828
Metropolitan,225000,98,2296
"Owning Mahowny",0,104,0
"The Greatest Game Ever Played",25000000,120,208333
"Snow Day",0,89,0
"VeggieTales: The Pirates Who Don't Do Anything",0,85,0
"Monsters vs Aliens",175000000,94,1861702
"Extreme Movie",0,88,0
"At First Sight",0,128,0
Gracie,9000000,97,92784
"Who's Your Caddy?",0,93,0
"Teen Wolf Too",0,95,0
"Conversations with Other Women",450000,84,5357
"Larry the Cable Guy: Health Inspector",0,89,0
Paparazzi,20000000,84,238095
"Kissing Jessica Stein",1000000,97,10309
"The Perfect Man",0,100,0
"The Tigger Movie",30000000,77,389610
"Mommie Dearest",0,129,0
"Madea Goes to Jail",0,103,0
"Connie and Carla",20000000,98,204082
"Opal Dream",5000000,86,58140
"Latter Days",850000,107,7944
Made,5000000,94,53191
"What's Love Got to Do with It",0,118,0
"Only the Strong",6000000,99,60606
Trekkies,0,86,0
"Donovan's Reef",2686000,109,24642
Duma,12000000,100,120000
"A Passage to India",8000000,163,49080
Ha-Buah,0,114,0
"Invasion U.S.A.",0,107,0
Abandon,25000000,99,252525
"The Lucky Ones",0,113,0
"Rejsen til Saturn",0,90,0
They,17000000,89,191011
Selena,20000000,127,157480
"Gods and Generals",56000000,214,261682
"House Party 2",0,94,0
"Thomas and the Magic Railroad",0,85,0
"The Adventures of Elmo in Grouchland",0,73,0
"Zero Effect",5000000,116,43103
"Safe Men",0,88,0
"The Wood",6000000,106,56604
"Baby Boy",16000000,130,123077
"The Best Man",9000000,120,75000
"Simply Irresistible",6000000,95,63158
"Diary of a Mad Black Woman",0,116,0
"Jack Brooks: Monster Slayer",0,85,0
"Whatever It Takes",15000000,94,159574
"Mr. 3000",30000000,104,288462
"The Boys from Brazil",0,125,0
Creepshow,8000000,120,66667
"Creepshow 2",3500000,92,38043
"Jackass 3D",20000000,94,212766
"Down to Earth",0,87,0
Serenity,39000000,119,327731
"The Rose",9250000,125,74000
"The Texas Chainsaw Massacre 2",4700000,101,46535
"Rugrats in Paris: The Movie",30,78,0
Ararat,0,115,0
"Ong Bak 2",8500000,98,86735
Eulogy,0,91,0
"The Best Little Whorehouse in Texas",35000000,114,307018
"The Brothers McMullen",0,98,0
Dick,13000000,94,138298
"Breakin' All the Rules",0,85,0
"Grand Theft Parsons",0,88,0
"The Beastmaster",0,118,0
"Waiting for Guffman",0,84,0
"Modern Problems",0,89,0
"Doug's 1st Movie",0,77,0
"Where the Wild Things Are",100000000,101,990099
"I Love You, Man",41000000,105,390476
Duplicity,78146652,125,625173
Oorlogswinter,4000000,103,38835
"Astro Boy",65000000,94,691489
"The Proposition",2000000,104,19231
Adventureland,9500000,107,88785
Mindhunters,27000000,106,254717
"Ordinary People",6000000,124,48387
"La Bamba",6500000,108,60185
"Somewhere in Time",5100000,103,49515
"Days of Heaven",0,94,0
"Life or Something Like It",40000000,103,388350
"The Other Side of Heaven",7000000,113,61947
"The Singles Ward",0,102,0
"Return to Never Land",20000000,72,277778
"The Namesake",12000000,122,98361
"Coal Miner's Daughter",15000000,125,120000
"Madea's Family Reunion",6000000,110,54545
"Welcome to Mooseport",30000000,110,272727
"The Dangerous Lives of Altar Boys",0,104,0
"All That Jazz",0,123,0
"Planet 51",70000000,91,769231
"Inglourious Basterds",70000000,153,457516
"Drag Me to Hell",30000000,99,303030
"The Ladies Man",24000000,84,285714
"Easy Virtue",0,93,0
"Obitaemyy Ostrov",36500000,115,317391
"How She Move",0,94,0
"Observe and Report",0,86,0
"State of Play",60000000,127,472441
"17 Again",20000000,102,196078
"The Crocodile Hunter: Collision Course",0,90,0
"The Land Girls",0,111,0
"Agent Cody Banks 2: Destination London",26000000,100,260000
"The Ballad of Jack and Rose",1500000,111,13514
"The Object of My Affection",15000000,111,135135
Crossroads,12000000,93,129032
"12 Rounds",20000000,108,185185
Karakter,4500000,122,36885
"Bright Lights, Big City",0,107,0
"Eye for an Eye",20000000,101,198020
Supercross,0,80,0
"The Emperor's Club",0,108,0
"Why Did I Get Married?",15000000,113,132743
"The Black Stallion",2700000,118,22881
"The Fall of the Roman Empire",19000000,188,101064
"Poultrygeist: Night of the Chicken Dead",0,103,0
"The Soloist",60000000,109,550459
"The Other End of the Line",14000000,106,132075
"Force 10 from Navarone",5000000,118,42373
Flywheel,0,120,0
"Last Holiday",45000000,112,401786
"How to Deal",0,99,0
Moon,5000000,97,51546
"The Informers",18000000,98,183673
"The Devil's Tomb",10000000,90,111111
"The Adventures of Tintin",130000000,107,1214953
"Year One",60000000,97,618557
"Fifty Dead Men Walking",0,117,0
"Barney's Great Adventure",0,76,0
"District 9",30000000,112,267857
"Anne of Green Gables",0,199,0
"Brokedown Palace",25000000,100,250000
"Corky Romano",11000000,86,127907
"Dudley Do-Right",70000000,77,909091
"Hey Arnold! The Movie",0,76,0
"The Adventures of Rocky & Bullwinkle",76000000,88,863636
"Thirteen Conversations About One Thing",0,104,0
"A Funny Thing Happened on the Way to the Forum",0,99,0
"My Fellow Americans",0,101,0
"Alex & Emma",30000000,96,312500
"Show Boat",2300000,107,21495
"A Simple Wish",28000000,86,325581
"Because of Winn-Dixie",14000000,106,132075
"My Dog Skip",7000000,95,73684
Oliver!,10000000,153,65359
Undiscovered,9000000,97,92784
"A Christmas Carol",200000000,96,2083333
Witchboard,0,98,0
"DysFunktional Family",0,89,0
Gossip,14000000,90,155556
"The Dark Hours",500000,80,6250
"Next Day Air",0,84,0
Duets,0,112,0
"Nueve Reinas",1500000,114,13158
"Hannah Montana: The Movie",35000000,102,343137
"Unaccompanied Minors",26000000,90,288889
"Land of the Lost",100000000,102,980392
Edmond,10000000,82,121951
"Alone With Her",1000000,78,12821
"Lesbian Vampire Killers",0,86,0
"The Twilight Saga: New Moon",50000000,130,384615
"The Proposal",40000000,108,370370
Reds,32000000,195,164103
Hoot,0,91,0
"George Washington",0,89,0
"The Young Victoria",35000000,105,333333
"The Country Bears",35000000,88,397727
"Night at the Museum: Battle of the Smithsonian",150000000,105,1428571
"The Last House on the Left",15000000,110,136364
Decoys,5000000,95,52632
"The Cookout",16000000,97,164948
Brüno,42000000,83,506024
"The Taking of Pelham 1 2 3",100000000,106,943396
Gamer,50000000,95,526316
"Adam Resurrected",10000000,106,94340
"The Cry of the Owl",11500000,101,113861
Bronson,230000,92,2500
Fled,25000000,98,255102
"Food, Inc.",0,94,0
"Morvern Callar",0,97,0
"Fur: An Imaginary Portrait of Diane Arbus",16800000,122,137705
"No Man's Land: The Rise of Reeker",2000000,88,22727
"A Dog's Breakfast",120000,88,1364
"Eye of the Beholder",15000000,109,137615
"Being Julia",0,104,0
"Sands of Iwo Jima",1000000,100,10000
"The Jerky Boys",0,82,0
"L.I.E. Long Island Expressway",700000,97,7216
"The Lizzie McGuire Movie",17000000,94,180851
"Slow Burn",15500000,93,166667
"The Hangover",35000000,100,350000
Highway,14000000,97,144330
"Clash of the Titans",125000000,106,1179245
"Double Take",0,88,0
"The White Countess",0,135,0
"The Lost Skeleton of Cadavra",0,90,0
"Jimmy and Judy",0,99,0
"3 Ninjas Kick Back",0,93,0
"Flight of the Intruder",35000000,115,304348
Jawbreaker,3000000,87,34483
"In Cold Blood",3500000,134,26119
"A Home at the End of the World",6500000,96,67708
"Facing the Giants",100000,111,901
"Quest for Camelot",40000000,86,465116
"The Boat That Rocked",50000000,116,431034
"The Adventures of Pinocchio",0,90,0
"Light It Up",0,99,0
"Johnson Family Vacation",12000000,97,123711
"The Crew",0,88,0
"The Real Cancun",0,96,0
"The Hebrew Hammer",1000000,85,11765
"...E tu vivrai nel terrore! L'aldilà",0,87,0
"Away We Go",17000000,98,173469
"Whatever Works",15000000,92,163043
"Saving Face",0,91,0
"Loving Annabelle",900000,76,11842
"Josie and the Pussycats",22000000,98,224490
"Recess: School's Out",10000000,83,120482
Screwed,0,81,0
"The Yards",0,115,0
"Held Up",0,89,0
Nomad,25000000,112,223214
"Miss March",0,89,0
G-Force,150000000,88,1704545
"Flying By",0,95,0
실미도,8000000,135,59259
"Imagine That",55000000,107,514019
Underclassman,0,95,0
"I Love You, Beth Cooper",18000000,102,176471
"Kiss the Bride",0,100,0
"The Players Club",0,104,0
Pandorum,33000000,108,305556
"Couples Retreat",70000000,113,619469
Daybreakers,20000000,98,204082
"The Stepfather",0,101,0
"The Goods: Live Hard, Sell Hard",10000000,90,111111
Zombieland,23600000,88,268182
"The Final Destination",40000000,82,487805
"(500) Days of Summer",7500000,95,78947
"The Brave Little Toaster",2000000,90,22222
Surrogates,80000000,89,898876
"Jennifer's Body",16000000,100,160000
Avatar,237000000,162,1462963
Niagara,1250000,92,13587
Slackers,14000000,86,162791
"The End of the Affair",23000000,102,225490
"The Betrayed",3500000,98,35714
"Purple Violets",4000000,103,38835
新宿事件,15000000,119,126050
Exotica,0,103,0
"World's Greatest Dad",10000000,99,101010
"Chocolate: Deep Dark Secrets",0,200,0
"Say It Isn't So",25000000,95,263158
"The Brothers",0,106,0
"Martin Lawrence Live: Runteldat",3000000,113,26549
"Despicable Me",69000000,95,726316
"Namastey London",0,128,0
"Paint Your Wagon",20000000,158,126582
Rockaway,0,76,0
"Digimon: The Movie",5500000,82,67073
"The Big Tease",0,87,0
"Catch That Kid",18000000,92,195652
"The Book of Eli",80000000,118,677966
"The Motel",0,75,0
"TRON: Legacy",170000000,125,1360000
"Jonah Hex",47000000,80,587500
Delgo,40000000,94,425532
Swimfan,8500000,84,101190
"Roadside Romeo",7000000,93,75269
"Robin Hood",200000000,140,1428571
"Rugrats Go Wild",0,84,0
"Ready to Rumble",24000000,107,224299
"Air Bud",3000000,98,30612
"Play It to the Bone",24000000,124,193548
"Radio Flyer",35000000,114,307018
"Sleep Dealer",2500000,90,27778
"The Road",32000000,111,288288
"But I'm a Cheerleader",0,85,0
Novocaine,6000000,95,63158
"Funny People",75000000,146,513699
"Aliens in the Attic",45000000,86,523256
Hardball,32000000,106,301887
"Smoke Signals",0,89,0
"The Ugly Truth",38000000,96,395833
"The Call of Cthulhu",50000,47,1064
"Keeping Up with the Steins",0,90,0
"Brick Lane",0,102,0
Orphan,20000000,123,162602
"Steppin: The Movie",0,85,0
"Barbershop 2:  Back in Business",18000000,106,169811
"River's Edge",19000000,99,191919
"I Dreamed of Africa",34000000,114,298246
"بچه‌های آسمان",180000,89,2022
"Stone Cold",0,92,0
南京!南京!,12000000,132,90909
"Anywhere But Here",23000000,114,201754
"All the Pretty Horses",57000000,117,487179
"The Battle of Shaker Heights",1000000,79,12658
"Lage Raho Munna Bhai",0,144,0
Molière,0,115,0
"The Blood of Heroes",0,100,0
"Tupac: Resurrection",300000,112,2679
Nighthawks,5000000,99,50505
"The Funeral",12500000,99,126263
"The Damned United",10000000,97,103093
"Dance Flick",0,83,0
"The Brothers Bloom",20000000,114,175439
"Good Boy!",17000000,87,195402
"The Slaughter Rule",0,112,0
"Like Mike",30000000,99,303030
Train,0,94,0
"Elmer Gantry",3000000,146,20548
Adam,0,99,0
"Capitalism: A Love Story",20000000,120,166667
"Troop Beverly Hills",0,105,0
Chéri,23000000,86,267442
"Without Limits",25000000,117,213675
"Ride with the Devil",38000000,138,275362
"Hell's Angels",3950000,127,31102
"In Too Deep",7000000,97,72165
"Youth in Revolt",18000000,87,206897
"Baby Geniuses",12000000,97,123711
"Kansas City",18000000,116,155172
"Love's Abiding Joy",0,87,0
Bled,0,95,0
"Scott Pilgrim vs. the World",60000000,112,535714
"The Yellow Handkerchief",15000000,102,147059
"The Broken Hearts Club: A Romantic Comedy",1000000,94,10638
Jerusalema,0,120,0
"Dinner Rush",0,99,0
"A Farewell to Arms",4,89,0
Whiteout,40000000,101,396040
"Cloudy with a Chance of Meatballs",100000000,90,1111111
"Simon Birch",20000000,114,175439
"Whip It",15000000,111,135135
"Law Abiding Citizen",53000000,109,486239
"Saw VI",11000000,90,122222
Motherhood,0,90,0
"Gentlemen Broncos",10000000,89,112360
"The Boondock Saints II: All Saints Day",8000000,118,67797
"The Fourth Kind",10000000,98,102041
"The Box",30000000,115,260870
"Ninja Assassin",40000000,99,404040
"The Blind Side",29000000,129,224806
Legion,26000000,100,260000
"It's Complicated",85000000,121,702479
Takers,32000000,107,299065
"A Room for Romeo Brass",0,90,0
"24 7: Twenty Four Seven",0,96,0
"Up in the Air",25000000,109,229358
"Old Dogs",35000000,88,397727
Invictus,60000000,134,447761
"The Cabin in the Woods",30000000,95,315789
"Dear John",25000000,115,217391
"Green Zone",100000000,115,869565
"Hot Tub Time Machine",36000000,101,356436
"My Life in Ruins",17000000,95,178947
Benji,0,86,0
"The Invention of Lying",18500000,100,185000
"The Town",37000000,125,296000
"Remember Me",20000000,113,176991
"The Spy Next Door",28000000,94,297872
"The Ballad of Cable Hogue",3716946,121,30719
Bandslam,20000000,111,180180
"Alvin and the Chipmunks: The Squeakquel",75000000,88,852273
"The Bad News Bears",35000000,102,343137
Kick-Ass,28000000,117,239316
Whipped,3000000,82,36585
"The Pallbearer",8000000,97,82474
"The Original Kings of Comedy",0,115,0
"Sucker Punch",82000000,110,745455
Machete,20000000,105,190476
Groove,0,86,0
Monkeybone,75000000,93,806452
"All About Steve",15000000,99,151515
C.H.U.D.,1250000,88,14205
"Cop Out",30000000,107,280374
Centurion,12000000,97,123711
"Paranormal Activity",15000,86,174
Pontypool,1500000,93,16129
"Stan Helsing",108,90,1
"The Twilight Saga: Eclipse",68000000,124,548387
"Teacher's Pet",10000000,74,135135
"The Puffy Chair",0,85,0
"Happy, Texas",1700000,98,17347
Mumford,0,112,0
"The Little Vampire",22000000,95,231579
"Town & Country",90000000,104,865385
"Warlock: The Armageddon",0,98,0
"An Ideal Husband",14000000,97,144330
"Halloween II",15000000,105,142857
"Silent Trigger",15000000,93,161290
"The Verdict",16000000,129,124031
"Excessive Force",3000000,87,34483
Sheena,25000000,117,213675
"The Man from Snowy River",3500000,104,33654
"Masked and Anonymous",0,112,0
"House of D",0,97,0
"Cirque du Freak: The Vampire's Assistant",40000000,109,366972
"The Time Traveler's Wife",39000000,107,364486
Ajami,0,120,0
"The Avengers",220000000,143,1538462
Doogal,0,85,0
"Did You Hear About the Morgans?",58000000,103,563107
"Fish Tank",3000000,123,24390
"Raise the Titanic",0,115,0
"Chasing Papi",0,80,0
"Cats Don't Dance",32000000,75,426667
"The Open Road",0,90,0
Bamboozled,0,135,0
"An Education",7500000,100,75000
"Six-String Samurai",2000000,91,21978
"Bobby Jones: Stroke of Genius",0,120,0
Hud,2500000,112,22321
"Julie & Julia",40000000,123,325203
Ink,250000,106,2358
"April Fool's Day",5000000,89,56180
"Head Over Heels",14000000,86,162791
"The Wiz",24000000,134,179104
"The Egyptian",5000000,139,35971
"Michael Jordan to the Max",0,46,0
"The Heart of Me",7000000,96,72917
"Tales from the Hood",6000000,98,61224
"The Four Seasons",0,107,0
Shorts,40000000,89,449438
"Drowning Mona",16000000,96,166667
"Janky Promoters",10000000,85,117647
"The Mirror Has Two Faces",42000000,126,333333
"Leap Year",19000000,100,190000
"Crazy Heart",7000000,112,62500
"The Caveman's Valentine",0,105,0
"Annie Get Your Gun",3768785,107,35222
Deterrence,0,101,0
"Saint Ralph",0,95,0
Yes,0,100,0
"Imaginary Heroes",10000000,111,90090
"La véritable histoire du Chat Botté",0,82,0
"El secreto de sus ojos",2000000,129,15504
"The Blue Butterfly",0,97,0
"March or Die",0,107,0
"I Love Your Work",0,111,0
"Raising Victor Vargas",800000,88,9091
"Two Can Play That Game",6000000,90,66667
"The House of Mirth",10000000,140,71429
"Jesus' Son",0,107,0
"Love Happens",18000000,109,165138
"American Ninja 2: The Confrontation",0,90,0
"Post Grad",15000000,89,168539
"Shooting Fish",3000000,109,27523
"Damnation Alley",17000000,91,186813
Carriers,0,84,0
"Vượt Sóng",1300000,135,9630
"Samantha: An American Girl Holiday",0,86,0
Precious,10000000,110,90909
"Harry Brown",7300000,103,70874
"Veronika Decides to Die",9000000,103,87379
"My Date with Drew",0,90,0
"The House of the Devil",0,95,0
"My Name Is Khan",12000000,145,82759
"Point Blank",2500000,92,27174
"Everybody's Fine",21000000,99,212121
Harper,3500000,121,28926
Prefontaine,8000000,106,75472
"Taking Woodstock",0,120,0
"A Low Down Dirty Shame",10000000,100,100000
"I Can Do Bad All By Myself",0,113,0
Maurice,0,134,0
Paa,3250000,133,24436
Buried,1987650,94,21145
"From Paris with Love",52000000,92,565217
"Brooklyn's Finest",17000000,133,127820
Agora,70000000,127,551181
Triangle,12000000,99,121212
"The Last Shot",0,90,0
"Old Joy",300000,73,4110
"Summer Catch",34000000,108,314815
"Clay Pigeons",0,104,0
Aberdeen,0,113,0
"The Thief and the Cobbler",28000000,72,388889
"Frat Party",0,84,0
"Sorority Row",12500000,101,123762
"My Baby's Daddy",0,86,0
"Lone Star",5000000,135,37037
"Brigham City",1000000,119,8403
"Rocket Singh: Salesman of the Year",1250000,156,8013
B-Girl,0,84,0
"Lion of the Desert",35000000,173,202312
"The Mudge Boy",800000,94,8511
"Mercy Streets",0,106,0
"The Secret of Kells",0,75,0
Ca$h,7000000,108,64815
"The Sorcerer's Apprentice",150000000,109,1376147
"Saint John of Las Vegas",3800000,84,45238
"The Nun's Story",3500000,149,23490
"The Greatest Show on Earth",4000000,152,26316
Inception,160000000,148,1081081
"Love Jones",10000000,104,96154
สุริโยไท,0,185,0
Malone,0,92,0
"King's Ransom",0,95,0
"Lake Mungo",0,84,0
Megaforce,0,99,0
"My Big Fat Independent Movie",0,80,0
"Graduation Day",0,96,0
"Harvard Man",0,99,0
Foolish,0,84,0
"Beastmaster 2: Through the Portal of Time",6000000,107,56075
"The Barbarians",0,87,0
"Extraordinary Measures",31000000,105,295238
"The Bounty Hunter",40000000,110,363636
Salt,110000000,100,1100000
"The Expendables",80000000,103,776699
"The American",20000000,104,192308
"The Other Guys",100000000,107,934579
"The Mechanic",40000000,93,430108
"Rabbit Hole",5000000,91,54945
"The Runaways",10000000,106,94340
"Forget Me Not",0,103,0
"State Fair",0,96,0
"Psycho Beach Party",1500000,95,15789
"55 Days at Peking",17000000,154,110390
"Trees Lounge",0,95,0
"Micmacs à tire-larigot",33000000,100,330000
"Yours, Mine and Ours",0,111,0
"She's Gotta Have It",0,84,0
"Kama Sutra - A Tale of Love",3000000,117,25641
"A Walk on the Moon",14000000,107,130841
"City Island",6000000,104,57692
"The Messenger",6500000,113,57522
"A Thin Line Between Love and Hate",0,108,0
"The Toxic Avenger Part II",0,96,0
"Hachi: A Dog's Tale",16000000,93,172043
Chloe,15000000,96,156250
"Return of the Living Dead 3",2000000,97,20619
"How to Be a Player",0,93,0
"Case 39",27000000,109,247706
"The Lost Weekend",1250000,101,12376
Fame,0,107,0
"The Woman Chaser",0,90,0
"In Dreams",0,100,0
F.I.S.T.,11,145,0
"The Specials",0,82,0
"The Omega Code",0,100,0
"Gun Shy",10000000,101,99010
"The Game of Their Lives",0,101,0
"An Everlasting Piece",0,103,0
Charly,950000,103,9223
"The Spanish Prisoner",10000000,110,90909
"Casa de Areia",0,115,0
"Nicholas Nickleby",0,132,0
"The Incredibly True Adventure of Two Girls In Love",0,94,0
Trucker,2000000,90,22222
"Survival of the Dead",4000000,90,44444
"The Crazies",20000000,101,198020
"Soul Food",0,114,0
"Krush Groove",3000000,97,30928
"Due occhi diabolici",9000000,120,75000
"Wal-Mart: The High Cost of Low Price",0,98,0
"Faith Like Potatoes",0,97,0
"Major Dundee",3800000,123,30894
"And Then Came Love",0,90,0
"The Robe",4100000,135,30370
Exam,0,101,0
"Snabba Cash",0,124,0
"Bright Star",8500000,119,71429
"Solomon and Sheba",5000000,139,35971
"Forty Shades of Blue",1500000,108,13889
"I Hope They Serve Beer in Hell",7000000,106,66038
"Phat Girlz",0,99,0
"The Singing Detective",0,109,0
"Civil Brand",0,95,0
"Real Women Have Curves",0,86,0
"Kingdom of the Spiders",500000,97,5155
"Megiddo: The Omega Code 2",0,104,0
"The Texas Chain Saw Massacre",85000,83,1024
十月圍城,23000000,139,165468
"Scott Walker: 30 Century Man",0,95,0
"Radio Days",16000000,90,177778
"The Deep End of the Ocean",38000000,106,358491
"The Visual Bible: The Gospel of John",10000000,125,80000
"The Horse Boy",0,93,0
"Moonlight Mile",21000000,117,179487
"Welcome to the Rileys",0,110,0
"The Business of Strangers",0,84,0
"Superbabies: Baby Geniuses 2",0,88,0
"Chicken Tikka Masala",0,90,0
"I Come with the Rain",18000000,114,157895
"Richard III",0,104,0
"Soul Kitchen",5000000,99,50505
"Le petit Nicolas",0,91,0
"From Justin to Kelly",12000000,90,133333
"Crazy in Alabama",0,111,0
"Chairman of the Board",0,95,0
Flawless,0,112,0
"Blood and Wine",26000000,101,257426
"All The Queen's Men",15000000,99,151515
"Repo Men",32000000,111,288288
"Ghosts of Mississippi",0,130,0
"Invaders from Mars",12000000,100,120000
Prophecy,12000000,102,117647
"City of Ghosts",0,116,0
"American Desi",250000,100,2500
Northfork,0,103,0
"Cradle Will Rock",0,132,0
"Duel in the Sun",6000000,144,41667
"Marci X",20000000,84,238095
"The Greatest",6000000,99,60606
"Two Girls and a Guy",1000000,84,11905
"La misma luna",0,106,0
"Percy Jackson & the Olympians: The Lightning Thief",95000000,118,805085
कृष,0,154,0
"Get Him to the Greek",40000000,109,366972
"Valentine's Day",52000000,125,416000
疯狂的赛车,0,99,0
Galaxina,5500000,95,57895
Waterloo,25000000,128,195313
해운대,16000000,120,133333
"Diary of a Wimpy Kid",15000000,92,163043
"Twin Falls Idaho",0,111,0
"The Brain That Wouldn't Die",62000,82,756
"Nowhere Boy",0,98,0
紅番區,7500000,91,82418
"How Stella Got Her Groove Back",20000000,124,161290
"Gentleman's Agreement",2000000,118,16949
"Losin' It",7000000,100,70000
"Funny Ha Ha",0,85,0
"Mao's Last Dancer",25000000,117,213675
"Wall Street: Money Never Sleeps",70000000,133,526316
"She's Out of My League",20000000,104,192308
"On the Line",0,85,0
Cargo,0,120,0
"Spaced Invaders",3000000,100,30000
"Brave New Girl",0,120,0
"Hollywood Shuffle",0,78,0
"You Can't Take It With You",1644736,126,13053
Crooklyn,0,115,0
Turbulence,55000000,100,550000
"Nine Dead",2000000,98,20408
"Men with Brooms",7500000,102,73529
"Good Intentions",0,85,0
"Max Keeble's Big Move",12000000,86,139535
"Our Family Wedding",14000000,103,135922
"The Neverending Story",27000000,102,264706
"ZMD: Zombies of Mass Destruction",0,92,0
"Enter the Void",13000000,161,80745
"A Single Man",7000000,101,69307
Butterfly,0,107,0
"The Adventures of Huck Finn",6500000,108,60185
Defendor,3500000,101,34653
"The Back-Up Plan",35000000,106,330189
"The Losers",25000000,97,257732
Predators,40000000,107,373832
"The Last Time I Committed Suicide",0,92,0
"Nanny McPhee and the Big Bang",35000000,109,321101
"The Pirate",3700000,102,36275
"Date Night",55000000,97,567010
"The Beast from 20,000 Fathoms",210000,80,2625
"Furry Vengeance",35000000,92,380435
Wordplay,0,94,0
"The Missing Person",0,95,0
"Why Did I Get Married Too?",20000000,121,165289
"Don McKay",0,87,0
"The Last Song",0,107,0
"Letters to God",0,110,0
"Juwanna Mann",15600000,91,171429
"Resident Evil: Afterlife",60000000,97,618557
"Lucky Break",0,107,0
"The Work and the Glory",7500000,110,68182
"The In Crowd",15000000,105,142857
