title,budget,runtime,Budget_Per_Minute
Troy,175000000,163,1073620
"On the Waterfront",910000,108,8426
"From Russia with Love",2000000,115,17391
Goldfinger,2500000,110,22727
Thunderball,5500000,130,42308
"Saw IV",10000000,93,107527
Twister,92000000,113,814159
"Central do Brasil",2900000,113,25664
"You Only Live Twice",9500000,117,81197
"On Her Majesty's Secret Service",6500000,142,45775
올드보이,3000000,120,25000
"Harry Potter and the Philosopher's Stone",125000000,152,822368
"Harry Potter and the Chamber of Secrets",100000000,161,621118
"Harry Potter and the Prisoner of Azkaban",130000000,141,921986
"Harry Potter and the Goblet of Fire",150000000,157,955414
"Harry Potter and the Order of the Phoenix",150000000,138,1086957
"Pearl Harbor",140000000,183,765027
Aliens,18500000,137,135036
"Pulp Fiction",8000000,154,51948
"Diamonds Are Forever",7200000,120,60000
"The Man with the Golden Gun",7000000,125,56000
Contact,90000000,150,600000
"Dead Man Walking",11000000,122,90164
"The Bridges of Madison County",24000000,135,177778
"The Spy Who Loved Me",14000000,125,112000
"Pink Flamingos",12000,93,129
"Meet the Fockers",80000000,115,695652
"The Shining",19000000,144,131944
Moonraker,34000000,126,269841
"For Your Eyes Only",28000000,127,220472
Octopussy,27500000,131,209924
"A Streetcar Named Desire",1800000,125,14400
"Annie Hall",4000000,93,43011
"A Hard Day's Night",560000,88,6364
"A View to a Kill",30000000,131,229008
"The Living Daylights",40000000,130,307692
"Licence to Kill",32000000,133,240602
GoldenEye,58000000,130,446154
"Finding Forrester",43000000,136,316176
"Four Weddings and a Funeral",6000000,117,51282
"The Piano",7000000,121,57851
"Tomorrow Never Dies",110000000,119,924370
"Top Gun",15000000,110,136364
"The Sixth Sense",40000000,107,373832
"The Last Emperor",23000000,163,141104
"Shaun of the Dead",4000000,99,40404
"V for Vendetta",54000000,132,409091
Face/Off,80000000,138,579710
"From Dusk Till Dawn",19000000,108,175926
Fantasia,2280000,124,18387
"Monty Python and the Holy Grail",400000,91,4396
"The Evil Dead",350000,85,4118
"Evil Dead II",3600000,84,42857
"Army of Darkness",11000000,81,135802
"Harry Potter and the Half-Blood Prince",250000000,153,1633987
"From Hell",35000000,122,286885
GoodFellas,25000000,145,172414
"Gone with the Wind",4000000,238,16807
"Home Alone",18000000,103,174757
"Home Alone 2: Lost in New York",18000000,120,150000
"Little Miss Sunshine",8000000,102,78431
Gattaca,36000000,106,339623
Gandhi,22000000,191,115183
"Almost Famous",60000000,122,491803
"Mr. & Mrs. Smith",110000000,120,916667
"Mrs. Doubtfire",25000000,125,200000
"The Fog",1000000,89,11236
Platoon,6000000,120,50000
"The Omen",2800000,111,25225
"City of Angels",55000000,114,482456
"Cruel Intentions",10500000,97,108247
"Good Morning, Vietnam",13000000,121,107438
Lolita,2000000,153,13072
"Rosemary's Baby",3200000,136,23529
Se7en,33000000,127,259843
Shrek,60000000,90,666667
"Shrek 2",150000000,93,1612903
"Shrek the Third",160000000,93,1720430
"Silent Running",1000000,89,11236
Aladdin,28000000,90,311111
Airplane!,3500000,88,39773
"Austin Powers: International Man of Mystery",16500000,94,175532
"Austin Powers: The Spy Who Shagged Me",33000000,95,347368
"Austin Powers in Goldmember",63000000,94,670213
Sleepers,44000000,147,299320
JFK,40000000,189,211640
"Judgment at Nuremberg",3000000,186,16129
"Moulin Rouge!",52500000,127,413386
"The Bridge on the River Kwai",3000000,161,18634
"Underworld: Evolution",50000000,106,471698
Videodrome,5952000,87,68414
"American Graffiti",777000,110,7064
"Close Encounters of the Third Kind",20000000,135,148148
Dune,40000000,137,291971
2046,12000000,129,93023
"The X Files",66000000,121,545455
Dragonslayer,18000000,108,166667
Krull,27000000,117,230769
"A Christmas Story",0,94,0
"Enemy at the Gates",68000000,131,519084
"The Mask",23000000,101,227723
"Black Hawk Down",92000000,144,638889
"Saving Private Ryan",70000000,169,414201
"Dangerous Liaisons",14000000,119,117647
WarGames,12000000,114,105263
"Total Recall",65000000,113,575221
"Toy Story",30000000,81,370370
"Toy Story 2",90000000,92,978261
"Cool Runnings",14000000,98,142857
"The Running Man",27000000,101,267327
"Finding Neverland",25000000,106,235849
Tsotsi,3000000,94,31915
"Planet of the Apes",100000000,119,840336
"Singin' in the Rain",2540800,103,24668
"The Color Purple",15000000,154,97403
"A Man for All Seasons",3900000,120,32500
Hook,70000000,144,486111
"A Few Good Men",40000000,138,289855
"The Best Years of Our Lives",2100000,172,12209
"The Flintstones",46000000,91,505495
"The Flintstones in Viva Rock Vegas",83000000,90,922222
"Die Büchse der Pandora",0,109,0
"Doctor Zhivago",11000000,197,55838
"The Thomas Crown Affair",48000000,113,424779
Cars,120000000,117,1025641
"Cinderella Man",88000000,144,611111
"Dawn of the Dead",28000000,101,277228
"Do the Right Thing",6500000,120,54167
"Galaxy Quest",45000000,102,441176
Gremlins,11000000,106,103774
"Gremlins 2: The New Batch",50000000,106,471698
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1800000,95,18947
"Lethal Weapon 3",35000000,118,296610
"Lethal Weapon 4",140000000,127,1102362
"Lawrence of Arabia",15000000,216,69444
Halloween,300000,91,3297
"Ice Age: The Meltdown",80000000,91,879121
"Kindergarten Cop",15000000,111,135135
Madagascar,75000000,86,872093
"Mission: Impossible",80000000,110,727273
"Mission: Impossible II",125000000,123,1016260
"Mission: Impossible III",150000000,126,1190476
Spaceballs,22700000,96,236458
"Seven Years in Tibet",70000000,136,514706
Irréversible,0,97,0
Eraserhead,10000,89,112
"The Front Page",4000000,105,38095
"The Hustler",2000000,134,14925
"Mulholland Drive",15000000,147,102041
"Heavenly Creatures",5000000,99,50505
"The French Connection",1800000,104,17308
"Arlington Road",21500000,117,183761
"Whale Rider",8000000,101,79208
"The Thirteenth Floor",16000000,100,160000
"The Thing",15000000,109,137615
"Escape from New York",6000000,99,60606
"The Wind That Shakes the Barley",6500000,124,52419
"Catch a Fire",0,101,0
"The Prestige",40000000,130,307692
Dreamgirls,70000000,134,522388
Babel,25000000,143,174825
"The Queen",15000000,103,145631
"The Talented Mr. Ripley",40000000,139,287770
"The Remains of the Day",11500000,134,85821
"Rocky Balboa",24000000,102,235294
"Hannibal Rising",50000000,121,413223
"Ghost Rider",110000000,114,964912
"Letters from Iwo Jima",19000000,141,134752
괴물,11000000,119,92437
"Because I Said So",0,102,0
"Notes on a Scandal",15000000,92,163043
"Stranger Than Fiction",30000000,113,265487
"Bridge to Terabithia",60000000,96,625000
"Street Kings",20000000,109,183486
"Mr. Bean's Holiday",25000000,90,277778
300,65000000,117,555556
Sunshine,50000000,107,467290
TMNT,34000000,90,377778
"Dogtown and Z-Boys",0,91,0
"American Psycho",7000000,102,68627
Frida,12000000,123,97561
"Monster's Ball",4000000,111,36036
Rocky,1000000,119,8403
"First Blood",15000000,93,161290
"Rambo: First Blood Part II",44000000,96,458333
"Rambo III",63000000,102,617647
"Blood Diamond",100000000,143,699301
Shortbus,2000000,101,19802
"The Fountain",35000000,96,364583
"Me and You and Everyone We Know",0,90,0
"Out of Sight",48000000,123,390244
"Y tu mamá también",5000000,106,47170
"The Pursuit of Happyness",55000000,117,470085
"Cutthroat Island",98000000,119,823529
"Sex, Lies, and Videotape",1200000,100,12000
"Party Monster",5000000,98,51020
"El laberinto del fauno",19000000,118,161017
"The Departed",90000000,151,596026
November,0,73,0
"Perfume: The Story of a Murderer",50000000,147,340136
"Once Upon a Time in Mexico",29000000,102,284314
"25th Hour",15000000,135,111111
"Bowling for Columbine",4000000,120,33333
Tarnation,218,91,2
"Anna and the King",75000000,148,506757
"Little Children",26000000,136,191176
"The Virgin Suicides",6000000,97,61856
"Superman Returns",270000000,154,1753247
Hellboy,66000000,122,540984
"The Illusionist",40000000,110,363636
"Miss Congeniality",45000000,111,405405
滿城盡帶黃金甲,110,114,1
"Kingdom of Heaven",130000000,144,902778
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",25000000,88,284091
"Teenage Mutant Ninja Turtles III",21000000,96,218750
"The Last King of Scotland",6000000,121,49587
"Spy Game",92000000,126,730159
"Changing Lanes",45000000,89,505618
Collateral,65000000,120,541667
"Office Space",10000000,89,112360
"Imagine Me & You",0,93,0
Thumbsucker,0,96,0
"The Lost Boys",8500000,97,87629
"Ghost World",7000000,111,63063
"Pieces of April",300000,81,3704
Flatliners,26000000,115,226087
"L'Auberge espagnole",5300000,122,43443
"28 Weeks Later",15000000,100,150000
"Live Free or Die Hard",110000000,128,859375
"Die Hard: With a Vengeance",90000000,128,703125
"Die Hard 2",70000000,124,564516
Chicago,45000000,113,398230
"Resident Evil",33000000,100,330000
"Resident Evil: Apocalypse",45000000,94,478723
"Raging Bull",18000000,129,139535
Apocalypto,40000000,139,287770
"The Holiday",85000000,136,625000
"School of Rock",35000000,108,324074
"It's a Wonderful Life",3180000,130,24462
"Secret Window",40000000,96,416667
"What's Eating Gilbert Grape",11000000,118,93220
"Bring It On",28000000,98,285714
"Copying Beethoven",11000000,104,105769
"Nirgendwo in Afrika",0,140,0
"Night at the Museum",110000000,108,1018519
"Meet the Parents",55000000,108,509259
"Cape Fear",35000000,128,273438
"I Heart Huckabees",22000000,106,207547
"The 51st State",28,93,0
"The Way of the Gun",8500000,119,71429
Hitman,24000000,89,269663
"Trading Places",40600000,116,350000
"Liar Liar",45000000,86,523256
"The Island",126000000,136,926471
Bedazzled,48000000,93,516129
Speed,30000000,116,258621
"Speed 2: Cruise Control",160000000,121,1322314
Crash,6500000,112,58036
"The Net",22000000,114,192982
"A Time to Kill",40000000,149,268456
"Freedom Writers",21000000,123,170732
"Bill & Ted's Excellent Adventure",10000000,90,111111
"Bill & Ted's Bogus Journey",0,98,0
"La sirène du Mississipi",0,123,0
"The Legend of Zorro",75000000,129,581395
"La Marche de l'empereur",8000000,80,100000
"The Hunt for Red October",30000000,134,223881
Ray,40000000,152,263158
"The Reaping",40000000,99,404040
"Beneath the Planet of the Apes",3000000,95,31579
"Escape from the Planet of the Apes",2500000,98,25510
"Conquest of the Planet of the Apes",1700000,88,19318
Hostel,4800000,94,51064
"Hostel: Part II",10200000,93,109677
"The Devil's Rejects",0,107,0
Anatomie,0,103,0
"Con Air",75000000,115,652174
"Battle for the Planet of the Apes",1700000,93,18280
Copycat,0,124,0
"All the King's Men",55000000,125,440000
"Captain Corelli's Mandolin",57000000,131,435115
"The Incredible Hulk",150000000,114,1315789
"West Side Story",6000000,152,39474
"Iron Man",140000000,126,1111111
"The Forbidden Kingdom",55000000,104,528846
"The Mummy Returns",98000000,130,753846
"The Mummy: Tomb of the Dragon Emperor",145000000,112,1294643
"Michael Collins",28000000,132,212121
"Captain America: The First Avenger",140000000,124,1129032
"Fahrenheit 9/11",6000000,122,49180
"Roger & Me",160000,91,1758
"An Inconvenient Truth",1000000,100,10000
Footloose,8200000,107,76636
"Stuck on You",55000000,118,466102
"Velvet Goldmine",0,119,0
"The Rules of Attraction",4000000,110,36364
"The Devil's Advocate",57000000,144,395833
"Phone Booth",13000000,81,160494
"You, Me and Dupree",54000000,108,500000
"50 First Dates",75000000,99,757576
"Lord of War",42000000,122,344262
"The Next Best Thing",25000000,108,231481
Dogma,10000000,130,76923
Rent,40000000,135,296296
Entrapment,66000000,112,589286
"Man on the Moon",82000000,118,694915
"World Trade Center",63000000,128,492188
Transformers,150000000,144,1041667
"Pirates of the Caribbean: On Stranger Tides",380000000,136,2794118
"Goodbye Bafana",30000000,140,214286
"Fear and Loathing in Las Vegas",18500000,118,156780
"Red Dawn",4200000,114,36842
"Malcolm X",34000000,202,168317
"The Karate Kid",8000000,126,63492
"Marie Antoinette",40000000,123,325203
"The Empire Strikes Back",18000000,124,145161
"Return of the Jedi",32350000,135,239630
"Star Wars: Episode I - The Phantom Menace",115000000,136,845588
"Star Wars: Episode II - Attack of the Clones",120000000,142,845070
"Star Wars: Episode III - Revenge of the Sith",113000000,140,807143
Traffic,48000000,147,326531
"In Good Company",0,109,0
"Vanilla Sky",68000000,136,500000
"Memoirs of a Geisha",85000000,145,586207
"The Beach",40000000,119,336134
"Don Juan DeMarco",25000000,97,257732
"The 13th Warrior",160000000,102,1568627
"Mar adentro",12806000,125,102448
"Sweet November",40000000,119,336134
Superman,55000000,143,384615
Hulk,137000000,138,992754
"The Amazing Spider-Man",215000000,136,1580882
"Stomp the Yard",13000000,114,114035
"The Others",0,101,0
"Shakespeare in Love",25000000,122,204918
eXistenZ,15000000,97,154639
"An Unfinished Life",30000000,108,277778
Crank,12000000,88,136364
Zodiac,65000000,157,414013
"Lucky You",0,124,0
Manderlay,14200000,139,102158
"The Butterfly Effect",13000000,113,115044
"The Elephant Man",5000000,124,40323
Gerry,3500000,103,33981
Enough,38000000,114,333333
"8 femmes",8000000,111,72072
"My Name Is Bruce",1500000,86,17442
Alexander,155000000,175,885714
Bandidas,35000000,93,376344
"The Grudge",10000000,92,108696
"The Grudge 2",20000000,102,196078
"4: Rise of the Silver Surfer",130000000,92,1413043
"The Constant Gardener",25000000,129,193798
"A Mighty Heart",16000000,100,160000
"My Blueberry Nights",10000000,111,90090
"Lara Croft: Tomb Raider",115000000,100,1150000
"Lara Croft Tomb Raider: The Cradle of Life",95000000,117,811966
"Deux frères",74500000,109,683486
"In the Bedroom",1700000,130,13077
"We Own the Night",21000000,117,179487
"Wu Ji",0,98,0
"4 luni, 3 săptămîni și 2 zile",852510,113,7544
Persepolis,7300000,95,76842
"Le scaphandre et le papillon",14000000,112,125000
"The Wedding Planner",35000000,103,339806
"Mr. Deeds",50000000,96,520833
Hidalgo,100000000,136,735294
"The Patriot",110000000,165,666667
Hostage,52000000,113,460177
"Training Day",45000000,122,368852
"Along Came a Spider",60000000,104,576923
"The Lake House",40000000,99,404040
"I, Robot",120000000,115,1043478
"Mr. Holland's Opus",0,137,0
"Open Range",22000000,139,158273
"The Station Agent",500000,88,5682
"Original Sin",42000000,118,355932
"National Treasure",100000000,131,763359
Ratatouille,150000000,111,1351351
"Mission to Mars",90000000,114,789474
"The Whole Nine Yards",41300000,98,421429
"Flirting with Disaster",7000000,92,76087
"X-Men Origins: Wolverine",150000000,107,1401869
"Birthday Girl",13000000,93,139785
"Romeo Must Die",25000000,115,217391
"Romeo Is Bleeding",11500000,100,115000
"The Last Castle",72000000,131,549618
"American Pie",11000000,95,115789
Wasabi,15300000,94,162766
Payback,90000000,100,900000
"Final Fantasy: The Spirits Within",137000000,106,1292453
"Out of Time",50000000,105,476190
"L.A. Confidential",35000000,138,253623
"Days of Thunder",60000000,107,560748
"The Whole Ten Yards",40000000,98,408163
"Me, Myself & Irene",51000000,116,439655
"The Perfect Storm",120000000,130,923077
"The Time Machine",80000000,96,833333
"Kiss of the Dragon",25000000,98,255102
"Cop Land",15000000,104,144231
"The Cotton Club",58000000,127,456693
"Reindeer Games",42000000,124,338710
"Lost in Space",80000000,130,615385
"Chill Factor",70000000,101,693069
Breakdown,36000000,95,378947
"The Glass House",30000000,106,283019
"Big Trouble",40000000,85,470588
"Death at a Funeral",9000000,90,100000
"16 Blocks",55000000,105,523810
"Aimee & Jaguar",0,125,0
Unfaithful,50000000,124,403226
"Eastern Promises",51500000,100,515000
Valkyrie,75000000,121,619835
"Chasing Amy",250000,113,2212
"Paris, je t'aime",13000000,120,108333
"The Golden Compass",180000000,113,1592920
Stardust,70000000,127,551181
"The General's Daughter",60000000,116,517241
"Bicentennial Man",100000000,131,763359
Big,18000000,104,173077
Rize,0,86,0
Closer,27000000,104,259615
"Cold Mountain",79000000,154,512987
"Jakob the Liar",0,120,0
Clerks,27000,92,293
Mallrats,6000000,94,63830
"Jay and Silent Bob Strike Back",22000000,104,211538
"Clerks II",5000000,97,51546
"Space Jam",80000000,88,909091
Inkheart,60000000,106,566038
Beowulf,70000000,115,608696
"In the Name of the King: A Dungeon Siege Tale",60000000,127,472441
"Executive Decision",55000000,133,413534
"Reign Over Me",20000000,124,161290
Sicko,9000000,123,73171
Topaz,4000000,143,27972
"Astérix aux Jeux Olympiques",97250400,116,838366
"The Greatest Story Ever Told",20000000,199,100503
"The Nativity Story",35000000,101,346535
"Harley Davidson and the Marlboro Man",23000000,98,234694
"The Chronicles of Narnia: Prince Caspian",225000000,150,1500000
Eragon,100000000,104,961538
"The Princess Bride",16000000,98,163265
"The Bourne Identity",60000000,119,504202
"The Bourne Supremacy",75000000,108,694444
"The Bourne Ultimatum",70000000,115,608696
Spanglish,80000000,130,615385
"The Aviator",116000000,170,682353
"The Tailor of Panama",21000000,109,192661
"Code 46",7500000,92,81522
"Born on the Fourth of July",14000000,145,96552
Shopgirl,10284523,104,98890
Splash,8000000,111,72072
"Return to Me",24000000,115,208696
"The Specialist",45000000,110,409091
"The Mothman Prophecies",32000000,119,268908
"Deconstructing Harry",20000000,96,208333
"Two Weeks Notice",60000000,101,594059
"The Game",50000000,129,387597
"Hard Candy",950000,103,9223
"What Lies Beneath",100000000,130,769231
Batman,1377800,105,13122
